Amp_range,Avg_amp,Freq_range,Pulses_per_Sec,Partials,MFCC,Duration,Zero_Crossings,Sex,Age,Species,Call
0.008185924,0.0008821765,112.0,2.5,0,-29.455383,2,2613,Pair (Unknown),Adult,Domestic Cat,hiss
0.010302997,0.0008499373,217.66666666666666,1.6666666666666667,0,-29.455383,3,3070,Pair (Unknown),Adult,Domestic Cat,growl?
0.006717353,0.0007558262,101.5,0.5,0,-29.455383,2,2753,Pair (Unknown),Adult,Domestic Cat,hiss
0.009543397,0.0008446573,218.99999999999997,0.6666666666666666,0,-29.455383,3,3144,Pair (Unknown),Adult,Domestic Cat,growl?
0.008842104,0.00084589067,204.5,1.0,0,-29.455383,2,2934,Pair (Unknown),Adult,Domestic Cat,hiss
0.0049700444,0.0007910364,111.0,0.0,0,-29.455383,2,2181,Pair (Unknown),Adult,Domestic Cat,growl?
0.0122955805,0.00090402114,263.99999999999994,4.0,0,-29.455383,3,3112,Pair (Unknown),Adult,Domestic Cat,growl
0.017251307,0.0009864107,217.5,5.0,0,-29.455383,2,2171,Pair (Unknown),Adult,Domestic Cat,growl
0.013317289,0.00082015304,386.40000000000003,1.0,0,-29.455383,5,5511,Pair (Unknown),Adult,Domestic Cat,growl
0.010813321,0.0007989984,123.66666666666666,1.3333333333333333,0,-29.455383,3,3396,Pair (Unknown),Adult,Domestic Cat,growl?
0.009211009,0.000721315,100.0,0.5,0,-29.455383,2,2135,Pair (Unknown),Adult,Domestic Cat,growl
0.0077259685,0.0008458688,341.5,1.25,0,-29.455383,4,4386,Pair (Unknown),Adult,Domestic Cat,growl
0.012338112,0.0007798652,469.0,1.3333333333333333,0,-29.455383,3,3432,Pair (Unknown),Adult,Domestic Cat,growl
0.005813496,0.0007414162,463.0,0.0,0,-29.455383,4,4786,Pair (Unknown),Adult,Domestic Cat,growl
0.010675213,0.0007934256,456.66666666666663,0.3333333333333333,0,-29.455383,3,3415,Pair (Unknown),Adult,Domestic Cat,growl
0.011371893,0.0007060493,190.5,0.75,0,-29.455383,4,4505,Pair (Unknown),Adult,Domestic Cat,growl
0.007975602,0.0007845168,109.33333333333331,0.6666666666666666,0,-29.455383,3,3961,Pair (Unknown),Adult,Domestic Cat,hiss
0.008197347,0.0007903323,414.25,0.25,0,-29.455383,4,4414,Pair (Unknown),Adult,Domestic Cat,growl
0.004787158,0.0007278177,271.0,0.0,0,-29.455383,3,4827,Pair (Unknown),Adult,Domestic Cat,hiss
0.008926778,0.0008411909,465.5,1.25,0,-29.455383,4,4014,Pair (Unknown),Adult,Domestic Cat,growl
0.005514951,0.0008544447,213.0,0.0,0,-29.455383,2,3037,Pair (Unknown),Adult,Domestic Cat,hiss
0.036308028,0.0013294066,574.75,7.25,0,-29.455383,4,4398,Pair (Unknown),Adult,Domestic Cat,growl
0.20611198,0.020492125,10544.75,2526.75,63,-23.798254,4,30863,Female ,Adult ,Domestic Cat,hiss
0.08859417,0.0046974528,5112.5,891.5,3,-23.798254,2,11568,Female ,Adult ,Domestic Cat,call
0.15303226,0.008180191,10156.5,1845.0,19,-23.798254,2,15483,Female ,Adult ,Domestic Cat,hiss
0.056716956,0.005672846,7471.0,2740.0,1,-23.798254,1,8561,Female ,Adult ,Domestic Cat,call
0.018355323,0.0018188959,950.0,50.4,0,-23.798254,5,20786,Female ,Adult ,Domestic Cat,unknown
0.11610461,0.005106982,8166.833333333333,1794.3333333333333,1,-23.798254,6,41898,Female ,Adult ,Domestic Cat,call
0.030809432,0.0018468677,1632.5,30.666666666666668,0,-23.798254,6,23054,Female ,Adult ,Domestic Cat,growl?
0.015449106,0.002115623,2380.5,236.5,0,-23.798254,2,7757,Female ,Adult ,Domestic Cat,call
0.025625488,0.0027151108,1653.0,296.5,1,-23.798254,2,8262,Female ,Adult ,Domestic Cat,call
0.022953747,0.002295263,4243.0,441.0,0,-23.798254,2,10458,Female ,Adult ,Domestic Cat,call
0.040151134,0.0034706534,4342.5,745.5,0,-23.798254,2,10746,Female ,Adult ,Domestic Cat,call
0.04232748,0.003228994,5545.0,756.5,0,-23.798254,2,10927,Female ,Adult ,Domestic Cat,call
0.039715257,0.0035484887,5339.5,872.0,0,-23.798254,2,11001,Female ,Adult ,Domestic Cat,call
0.19245541,0.033155676,10468.5,3177.5,50,-23.798254,2,15590,Female ,Adult ,Domestic Cat,hiss
0.08947759,0.0034556475,6308.866666666667,511.46666666666664,0,-23.798254,15,56091,Female ,Adult ,Domestic Cat,growl/hiss
0.059777897,0.0053220997,6364.666666666666,1206.3333333333333,2,-23.798254,3,15500,Female ,Adult ,Domestic Cat,call
0.16653307,0.0069102272,10387.25,1103.25,0,-23.798254,8,41014,Female ,Adult ,Domestic Cat,call
0.049486645,0.0020418474,5389.75,134.5625,0,-23.798254,16,57977,Female ,Adult ,Domestic Cat,call sequence
0.1592945,0.013046937,10449.666666666666,2122.3333333333335,25,-23.798254,3,20983,Female ,Adult ,Domestic Cat,call
0.066123,0.0038887933,7133.363636363637,761.0909090909091,0,-23.798254,11,47002,Female ,Adult ,Domestic Cat,call sequence
0.07093573,0.002770957,7100.4375,399.3125,0,-23.798254,16,67453,Female ,Adult ,Domestic Cat,call sequence
0.10434044,0.0032948912,7519.933333333333,506.4,0,-23.798254,15,65215,Female ,Adult ,Domestic Cat,call sequence
0.21200563,0.009725741,7613.25,860.5,8,-14.426986,4,9947,Female ,Adult ,Domestic Cat,growl
0.09131004,0.01319356,3502.0,451.5,11,-14.426986,4,5719,Female ,Adult ,Domestic Cat,growl
0.14058751,0.010266481,5233.5,863.0,8,-14.426986,2,5059,Female ,Adult ,Domestic Cat,hiss
0.03582386,0.004856035,3127.9999999999995,116.66666666666667,0,-28.967203,3,3895,Male,Juvenile ,Domestic Cat,purr
0.04865593,0.002547078,4435.25,473.75,0,-28.967203,4,8927,Male,Juvenile ,Domestic Cat,purr
0.029616628,0.0024095057,2859.25,472.0,0,-28.967203,4,8264,Male,Juvenile ,Domestic Cat,purr
0.056078907,0.0026836111,4054.0,350.5,0,-28.967203,2,3504,Male,Juvenile ,Domestic Cat,purr
0.14782469,0.0037240712,2998.6666666666665,331.3333333333333,0,-28.967203,3,5442,Male,Juvenile ,Domestic Cat,purr
0.062695265,0.0023001758,4247.083333333333,371.9166666666667,0,-28.967203,12,24451,Male,Juvenile ,Domestic Cat,purr sequence
0.06347124,0.0023816419,4848.846153846154,372.53846153846155,0,-28.967203,13,26212,Male,Juvenile ,Domestic Cat,purr sequence
0.05395654,0.002612819,5125.5,417.0,1,-28.967203,4,6025,Male,Juvenile ,Domestic Cat,purr
0.06810771,0.002487384,5240.5,507.6666666666667,0,-28.967203,12,27773,Male,Juvenile ,Domestic Cat,purr sequence
0.033030275,0.0022615576,4633.714285714285,413.2857142857143,0,-28.967203,7,13773,Male,Juvenile ,Domestic Cat,purr sequence
0.5307232,0.020487877,7929.450000000001,128.0,12,-7.742494,20,12548,male ,juvenile,Domestic Cat,purr
0.03802257,0.004066943,779.5,89.25,2,-20.952488,4,3485,Male,Adult,Caracal Carcal,Growl
0.22653309,0.0056587197,9725.5,1214.0,0,-20.952488,2,9444,Male,Adult,Caracal Carcal,Hiss
0.382699,0.013324426,2082.0,111.0,6,-20.952488,2,2674,Male,Adult,Caracal Carcal,Loud rumble/roar
0.04313026,0.0034434604,9600.444444444443,52.44444444444444,1,-20.345537,9,8827,Male,Adult,Caracal Carcal,growl
0.013558389,0.0028529381,445.6666666666667,30.0,1,-20.345537,3,6313,Male,Adult,Caracal Carcal,Hiss
0.023205439,0.0027996823,513.5,72.5,0,-20.345537,2,4187,Male,Adult,Caracal Carcal,Sharp Hiss
0.21600768,0.0038428858,381.0,30.0,1,-20.345537,2,3213,Male,Adult,Caracal Carcal,growl
0.31192207,0.0035834757,9596.120709656465,37.17575907565235,0,-20.345537,9,9973,Male,Adult,Caracal Carcal,growl
0.040111043,0.005864584,1482.25,158.5,2,-15.124793,4,3266,,Adult,Caracal Carcal,growl
0.078987606,0.009900888,8910.666666666666,1006.3333333333334,2,-15.124793,3,6745,,Adult,Caracal Carcal,hiss
0.048975278,0.007401799,2646.428571428571,177.14285714285714,3,-15.124793,7,4960,,Adult,Caracal Carcal,growl
0.120763876,0.005543398,1340.75,123.5,1,-15.124793,4,4294,,Adult,Caracal Carcal,hiss
0.16634987,0.013285846,3337.9999999999995,235.14285714285714,2,-15.124793,7,4232,,Adult,Caracal Carcal,growl
0.12027133,0.013495678,7275.999999999999,786.0,14,-15.124793,3,4657,,Adult,Caracal Carcal,hiss
0.19953546,0.011566254,2375.5058699279075,185.62594707115855,3,-15.124793,6,3525,,Adult,Caracal Carcal,growl
0.61130923,0.02418906,9048.75,1088.0,19,-11.353308,4,9474,,,Caracal Carcal,growl
0.41283002,0.031145459,10498.0,1978.5,35,-11.353308,4,13375,,,Caracal Carcal,growl
0.9122972,0.016970463,10485.0,1520.5,8,-11.353308,4,13293,,,Caracal Carcal,growl
0.3747444,0.02019529,10336.400000000001,1273.4,5,-11.353308,5,12837,,,Caracal Carcal,growl
0.61533964,0.01615857,7789.5,950.0,14,-11.353308,2,4709,,,Caracal Carcal,growl
0.9807188,0.052124344,10669.6,1750.2,30,-11.353308,5,14990,,,Caracal Carcal,growl
0.70757365,0.041906036,10485.400000000001,1520.4,25,-11.353308,5,11567,,,Caracal Carcal,growl
0.71777695,0.031497348,10325.25,1092.75,20,-11.353308,4,7959,,,Caracal Carcal,growl
0.90520394,0.026470719,10145.0,924.3333333333334,12,-11.353308,3,4408,,,Caracal Carcal,growl
0.8226118,0.028408166,9947.0,790.2,17,-11.353308,5,8720,,,Caracal Carcal,growl
0.17563961,0.017332952,7086.666666666666,487.0,6,-11.353308,3,3488,,,Caracal Carcal,growl
0.4784958,0.019635918,10452.0,2043.0,79,-17.076584,3,16012,,,Caracal Carcal,Hiss
0.12255167,0.017511982,1839.1509433962262,254.71698113207546,4,-17.076584,3,2039,,,Caracal Carcal,Growl
0.40034974,0.018235967,8998.5,2128.5,12,-15.48846,2,8306,,,Caracal Carcal,Hiss
